第1次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:7.31
第2次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:7.13
第3次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:6.76
第4次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:6.77
第5次更新, 当前小蛇平均长度为:3.23, 小蛇平均存活步数为:6.52
第6次更新, 当前小蛇平均长度为:3.25, 小蛇平均存活步数为:6.72
第7次更新, 当前小蛇平均长度为:3.26, 小蛇平均存活步数为:6.12
第8次更新, 当前小蛇平均长度为:3.28, 小蛇平均存活步数为:6.05
第9次更新, 当前小蛇平均长度为:3.29, 小蛇平均存活步数为:6.06
第10次更新, 当前小蛇平均长度为:3.33, 小蛇平均存活步数为:6.26
第11次更新, 当前小蛇平均长度为:3.33, 小蛇平均存活步数为:5.89
第12次更新, 当前小蛇平均长度为:3.34, 小蛇平均存活步数为:6.06
第13次更新, 当前小蛇平均长度为:3.33, 小蛇平均存活步数为:5.52
第14次更新, 当前小蛇平均长度为:3.38, 小蛇平均存活步数为:5.89
第15次更新, 当前小蛇平均长度为:3.41, 小蛇平均存活步数为:5.80
第16次更新, 当前小蛇平均长度为:3.38, 小蛇平均存活步数为:5.45
第17次更新, 当前小蛇平均长度为:3.41, 小蛇平均存活步数为:5.68
第18次更新, 当前小蛇平均长度为:3.45, 小蛇平均存活步数为:5.53
第19次更新, 当前小蛇平均长度为:3.50, 小蛇平均存活步数为:5.68
第20次更新, 当前小蛇平均长度为:3.45, 小蛇平均存活步数为:5.83
第21次更新, 当前小蛇平均长度为:3.50, 小蛇平均存活步数为:5.86
第22次更新, 当前小蛇平均长度为:3.51, 小蛇平均存活步数为:6.08
第23次更新, 当前小蛇平均长度为:3.54, 小蛇平均存活步数为:6.19
第24次更新, 当前小蛇平均长度为:3.57, 小蛇平均存活步数为:6.11
第25次更新, 当前小蛇平均长度为:3.57, 小蛇平均存活步数为:6.02
第26次更新, 当前小蛇平均长度为:3.63, 小蛇平均存活步数为:6.13
第27次更新, 当前小蛇平均长度为:3.65, 小蛇平均存活步数为:6.03
第28次更新, 当前小蛇平均长度为:3.65, 小蛇平均存活步数为:6.68
第29次更新, 当前小蛇平均长度为:3.68, 小蛇平均存活步数为:6.46
第30次更新, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:6.40
第31次更新, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:6.48
第32次更新, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:6.54
第33次更新, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:6.72
第34次更新, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:6.30
第35次更新, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:6.18
第36次更新, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:6.17
第37次更新, 当前小蛇平均长度为:3.66, 小蛇平均存活步数为:5.73
第38次更新, 当前小蛇平均长度为:3.65, 小蛇平均存活步数为:5.59
第39次更新, 当前小蛇平均长度为:3.64, 小蛇平均存活步数为:5.48
第40次更新, 当前小蛇平均长度为:3.62, 小蛇平均存活步数为:5.39
第41次更新, 当前小蛇平均长度为:3.65, 小蛇平均存活步数为:5.70
第42次更新, 当前小蛇平均长度为:3.58, 小蛇平均存活步数为:5.37
第43次更新, 当前小蛇平均长度为:3.57, 小蛇平均存活步数为:4.89
第44次更新, 当前小蛇平均长度为:3.59, 小蛇平均存活步数为:5.19
第45次更新, 当前小蛇平均长度为:3.53, 小蛇平均存活步数为:4.71
第46次更新, 当前小蛇平均长度为:3.50, 小蛇平均存活步数为:4.59
第47次更新, 当前小蛇平均长度为:3.49, 小蛇平均存活步数为:4.39
第48次更新, 当前小蛇平均长度为:3.46, 小蛇平均存活步数为:4.22
第49次更新, 当前小蛇平均长度为:3.47, 小蛇平均存活步数为:4.22
第50次更新, 当前小蛇平均长度为:3.43, 小蛇平均存活步数为:4.05
第51次更新, 当前小蛇平均长度为:4.03, 小蛇平均存活步数为:7.52
